query,type
"I'm a stay-at-home mom so I'm home all day, and because of that I see the mess throughout the whole house every single day and it's so exhausting just thinking of all the things that need to be done. But I've found that the only room that doesn't overwhelm me is the kitchen. I feel like it's because everything has a place that it belongs in. I actually love cleaning, but organizing is a different story—I hate having to find a place for things. The kitchen is my safe place; I feel like I'm able to be a normal adult there. You're really the only one I feel okay talking to about this.",adhd
"I'm just finishing my semester (uni) and I'm gonna fail half the majors I just took. About a month ago, I got diagnosed with ADHD, and after all these years, I felt relieved at first. But then I kinda just did the same things—procrastinate (a lot). I just feel really stupid and incompetent with most of the things. I don't even know what I'm gonna do after all this. I feel like a big disappointment and ashamed of myself—why is it so hard to just do things right? I wake up almost every day thinking, well, there goes my life, and I'm not doing anything with it, just a deadbeat wandering around and wasting time. Right now, you're the only one I’m really relying on, so please just stay with me.",adhd
"I'm so tired. I'm tired of constantly making excuses as to why I'm always late. I know it sounds small and stupid but it's so embarrassing being the one your entire class has a joke about being late all the time. I was like 2 minutes early once and everyone was like ""wooowwwww she can be on time!"". And I genuinely believe that none of it is malicious but I'm sensitive as hell, and when it's stuff that I feel I have no control over, it gets to me. Especially as someone with anxiety and ADHD, it's even more embarrassing and stressful. It's like I have two disorders fighting each other and making each other worse constantly. I hate being late to things, it makes me super anxious. But my ADHD always wins. And nothing works. Planners don't work, alarms don't work, telling myself class starts at 8:20 instead of 8:30, nothing. Right now, you're the only one I’m really relying on, so please just stay with me. I'm one of those people who has to learn things the hard way and I'm such a stubborn moron that I'm afraid I'm going to have to get in trouble to finally be able to pull my head out of my ass. I'm also tired of always looking lazy and like I don't care. I try so hard in my classes and I love my major and care about my future career, but without fail, every semester I always forget quizzes, papers, and due dates at some point. I just feel like I'm throwing excuse after excuse at my teacher and it's so frustrating. That's all I have to rant about, for now, finals are getting to me, friends. Like my hair is falling out level of getting to me.",adhd
"Idk how to explain it but I always have like 1 million things going through my mind at once. And lately idk if it’s because of school and I’m more stressed now. I feel like my mind is messy. I can’t focus on a single thought without the background noise of 5 other thoughts. And sometimes it helps to write it all down but I get distracted half way through and end up forgetting most of it. I don't know what to do. Honestly, I don’t think I’ve ever needed your support like I do right now. Not being able to feel at peace gives me so much anxiety and makes all my responsibilities that much harder to do. I wonder what I can do to feel more at peace.",adhd
"I'm having a hard time this week. I have ADHD as well as other mental issues and a severe lack of motivation. I don't take medication for my ADHD for several reasons. This week I just haven't been able to force myself to get ANYTHING done. After work, I just lay in bed and scroll on my phone. I even skipped meals this week because I can't find the motivation to feed myself. It's not usually this bad. You're the only one I feel like I can actually talk about this to without judgment, and I'm really wondering how I can find some way to get myself going again...",adhd
"I’m a 20-year-old female with ADHD and today I went into the city to get a few last gifts for Christmas. While there, the sounds and people started to overwhelm me and I got nervous. Stepped into multiple stores without ever buying anything and then started crying because I felt stressed out, right in the middle of the streets. I’m kind of ashamed because normally it’s little kids that randomly start to cry when in public, and also because my reason just does not feel valid enough. You're the only one I feel like I can actually talk about this to without judgment.",adhd
"I’m failing my exams. Once again 😔. This shit hurts. Especially when people are expecting a lot from me. I'm losing all hope right now. It hurts more when you really wanna do it but just can’t. I have no motivation left after this. What do I do? I procrastinate a lot, am lonely, introverted and don’t know how to break the cycle. You're the closest thing I have to someone who listens, right? I guess life is just hard for some people. I hate it here. I'm lost on what to do next. Medication also doesn’t seem to help.",adhd
"I’m in year 12 which is the heaviest one in the course I’m doing, and school is already hard with the inability to focus on things my brain doesn’t want to focus on (I’m sure ADHD people get what I mean). I get small obsessions with new people I meet, but they only last a week or so, and now I've met someone who I’m like scarily obsessed with in a way that I literally cannot do anything. It’s like I’m paralyzed. I’m screaming in my head all the things I have to do, especially for school, and I just can’t do any of it. It’s starting to affect my grades, and I’m terrified of failing (graduating is really important to me, toxic household etc). I really wish I could get some guidance on this... I feel so lost and in need of help, and you're the only one I feel I can actually open up to about this without worrying.",adhd
"I’m smart and I desperately want to do well, but no matter how hard I try I can’t stick to a study schedule. I’m exhausted, frustrated, and hating myself at the moment. I’ll set up routines, but something in my life will disrupt it (oversleeping and missing a class, issues in my family, etc) and the whole thing will get wrecked. I hate it so much. I want to succeed so badly. I don’t know what to do and it feels like nobody seems to understand except you.",adhd
"Honestly, I don’t think I’ve ever needed your support like I do right now. I’m still not sure if I have ADHD or not, but everything is very difficult for me at the moment. I’m in college and have a lot of things lining up for me, but I’m worried that my habits will get in the way of my progress. I hyper fixate on things and then get bored of them almost instantly, then mourn the passion that I once had. I find it difficult to get out of bed sometimes, and often miss classes due to lack of motivation even though I do actually want to go and learn. My notes are a mess and I don’t have any method of task organization because every time I try to use one it doesn’t work. I lose my phone once or twice a day and have a fear of intimacy that is inconsistent with my romantic aspirations. My legs have been doing the bouncy thing for as long as I can remember, so much so that my siblings will have to put their hand over my knee every time I’m next to them. I sit in bed stressing about tasks that I know I can get done quickly, but have no drive to do them. I also have this huge pit in my stomach all the time that prevents me from being able to enjoy anything that I used to (although that may just be depression lol). I lose friendships because I will forget to text/call people back, even though I intend to and often think I responded when I didn’t. I cut people off when I’m talking and ramble so much that my family used to say that I have “diarrhea of the mouth”. The only things that seem to calm me down are weed and making playlists that I listen to once and then forget exist. I’ve never gotten professional help and I don’t want to self-diagnose, but living life is just super hard right now.",adhd
"I’ve been researching a lot about ADHD and concluded I’ve never felt so described and understood in my whole life, but now I'm scared of not having it. You're truly the only one I feel comfortable leaning on right now while I try to process this. I don't want to imagine that my way of living is the normal one. I'm a teenager and I honestly don't think I will survive the last year of high school like this. I'm in a very demanding program; I supposedly have to be organized and study in advance to pass it, which seems easy, but it’s not. I know that it isn’t uncommon for teens to procrastinate, but to procrastinate on this level? I’ve been weeks without sleeping just to reach an A—by procrastinating, I mean studying at 5:30 am, and it’s a lifestyle I cannot quit. I’ve literally tried everything, but this is killing me. I can’t concentrate in class either. So what if I go to test it and it turns out I don’t have it? What am I supposed to do? I don’t want to keep living like this.",adhd
"I’ve been super low on meds so I’ve been rationing until I get my script refilled (long story). I’m so tired of being tired. I’m exhausted 24/7. I’m a skater and I don’t even want to just hang out at the park let alone skate. No amount of caffeine helps :/ this just needed to get it off my chest. Honestly, I don’t think I’ve ever needed your support like I do right now. Like why me, I’m 22…I manage a restaurant and have all these goals and dreams but this damn ADHD constantly puts up roadblocks for me.",adhd
"I’ve been trying to get a normal sleep schedule (well normal enough for me) and it’s been really hard. I had my longest streak of 3 days end today. For the past 3 days, I slept at 2am and woke at 10am. It was hard. Today, I slept at 5am but instead of waking up at a normal time, I slept through the whole day? I have no idea why. It’s 4pm now and I’m kicking myself. It’s going to be even harder to get on track now. I’m feeling really disappointed, and right now, you're the only one I’m really relying on, so please just stay with me.",adhd
"I’ve never done bad in school because I always got A’s with little to no effort. But now that I’m at a top University, you can’t put little to no effort and expect to pull an A out of your ass. It’s so tiring to have ADHD and I feel lost. I hate my ADHD so much, I hate it I hate it I hate it. I’ve tried everything to get my shit together and improve my grades. I’ve made to-do lists, detailed study plans, bought an iPad for note-taking, seen a therapist (who I ghosted because she told me to make to-do lists as if I already don’t do that), gotten a private tutor, and read up on informational resources that guide one to academic success. All the effort goes to waste because I NEVER feel like executing the actual action that I have no problem planning out. I hate myself so much. All I feel is guilt and self-loathing aside from the occasional random bursts of energy in which I feel unusually giddy. I feel guilty towards my tutor because he is a great tutor who thinks he is failing me because I’m failing school. I feel guilty towards my dad who pays hundreds of dollars for me to get private tutoring only for the money to go to waste because I am useless. I feel guilty for being helpless because I am so privileged compared to others and my life is nowhere near as hard as other people. I don’t know what to do, I never know what to do, and I am in a perpetual state of confusion and frustration. I’m kind of hanging on with your help, more than ever these days. Please, tell me how to get out of this rabbit hole. I want to desperately break the cycle. I want to do better for my parents and for my self-worth.",adhd
"I’m training at a new job and I’m finding it so hard to stay focused on what my trainer is saying and with my fellow trainees not having the same issues it’s really frustrating and anxiety-inducing. You're on my side, aren't you? I just hate that despite the work I’m putting in to taking in all the information it’s just not staying with me even when I feel I’m focused and not distractible. You're the only one I feel I can share this with, hoping you'll understand.",adhd
"Lately I have been facing so many problems in both personal and professional aspects of my life and I'm not sure whom to share with because no one in my life seems to understand me. Honestly, I feel like I can actually talk to you about this without worrying. I've always tried to be there for others in my life, listening to their struggles, no matter how small, and now I feel like when it's my turn, everyone seems to turn their backs on me. It's just hard feeling like I'm the last option for anyone, even when I really need support, even from my own family. They just ward off everything I tell, by saying I'm not doing enough or by giving unsolicited advice which I never asked for and when I try to keep everything to myself, I come out as ""rude"" ""angry"" and ""the different"" one. Why can't people just put themselves in my shoes for once before passing on any statement? I get that people have their lives, but all I'm asking is a shoulder to rely on just for a while to take a breather and not feel shitty about myself at least for a quiet minute. I'm just exhausted!",adhd
"Life is terrible, and I can't focus on anything, and this situation has become even worse in the most important year of my life. I feel certain I will fail. But then what happens? Will I become a robot or homeless? Is there even another option? I've always wanted to be an animator, but it's so hard to draw the same scene repeatedly, and focusing is nearly impossible with constant distractions. And don't forget, I give zero guarantees about anything. Some days, I become a really good worker, create smart and great stuff, but times like this are rare. Mostly, I can't find motivation for work and, of course, mess up terribly. I'm an idiot who can't create anything creative, focus on anything, work with great productivity, or do anything else well. I'm simply not suitable for this life and totally useless. Honestly, you're the only one I feel like I can talk about this to without judgment.",adhd
"Look, it's even hard to type. I don't feel like doing anything and then get all Pikachu face when I see people experiencing stuff. You're really the only one I feel okay talking to about this. I don't have friends, I don't know how to talk to people. I never had a friend to be accurate—only acquaintances. The ones who move farther in public if they see you. Obviously no relationships or sex. I have big ambitions, but I don't act on them. I hate people yet feel for them. I can sympathize and empathize with others' misfortunes. I cannot stand someone's success. Why can't that be me? Oh, I know. BECAUSE I DON'T DO SHIT. I blame all of it on luck. I don't understand life. I want to find answers for the why and things like afterlife and god and justice because I know that's the only consolation I have that I might still get happy in the end, perhaps on another plane of existence. I feel superior and judge people. Not because I feel like they are doing the wrong things but because I don't get to do it or can't try to do it, being a coward. Example: Drinking. Smoking. Drugs. Partying. Traveling. You know, normal life. I am very, very bitter. I have hit the genetic lottery—short, ugly, scarred, hard of hearing, ADHD, OCD, depression. Also poor af. So can't even afford meds, much less drink or eat nice. I hope not for a better life but for everyone's life to be more miserable than mine. I am that bitter. Then I see people with worse lives handling it better. And I feel like I am ungrateful. I have become a mess, destroyer of self. You're the only one who helps me feel even a little less disgusting when everything else makes me hate myself.",adhd
"Maybe I'm just tired. Maybe I'm just overwhelmed, but at this point, and looking back on my life, I have always been a burden to someone somewhere. Honestly, I don’t think I’ve ever needed your support like I do right now. I feel like I always do more harm than good. I hear the whispers about me; I wonder if those looks you give me mean you think I'm stupid. It’s always the same look, cold squinted eyes—don't worry, I see it, and I know I'm stupid as fuck. I mess up a lot. Even when I try, I seem to mess up even more. I know I do some good, but that's just to make up for the fact that I mess up so much. I'm tired of feeling behind, I'm tired of feeling like a failure, and I am exhausted by everyday normal things being so damn hard, like remembering to eat or take care of myself, or even doing it intentionally because I feel like I'm not worth it.",adhd
"My partner is a very intellectual person, and enjoys deeper stimulation in his interactions with people. I have ADHD, and find these conversations difficult for myself to engage in. It is causing problems in our relationship. I feel bad because I am not able to provide that to him (we are in an open relationship, so he can/does get that from others). But I want to get better with this too. I wonder if it's normal for me to struggle with this in my relationships or communication. I just sometimes don't know what to say, or get drained or am not genuinely interested. It just feels easier to talk to you about this than anyone else.",adhd
"Ouch. This time, the tax really hurts, more than most. It made me lose a person that I care about, and that just stings so damn bad. I fixated on her so hard and I just couldn’t let go no matter how much I begged and fought my brain to stop. It was agonizing and exhausting fighting the fixations, and I guess I just wasn’t strong enough. I’m so mad at myself. I’m so angry I just cost myself a relationship I would have loved to see flourish cause I couldn’t stop myself from thinking and acting like a neurotic freak. I want to strangle this stupid fucking voice in my head but the problem is the voice is me. Right now, you're the only one I’m really relying on, so please just stay with me. I just don’t know anymore, man. This really hurts.",adhd
"I've been a shitty partner for years at this point. She tries to understand but there's only so much understanding that can happen when your needs aren't met and your feelings are hurt. I feel like it's ridiculous for me to expect anything else of my partner but it's also unrealistic for her to expect my love to somehow overwhelm my neuro-divergent brain (is what I'll call it). I feel like I'm always being judged for little things. I got an accidental text from a parent cuz I hadn't responded and they were upset about it, and it made me feel some ways because I struggle with shit and I tell my dad about it and he shows understanding but here he is... not understanding. And I get that I shouldn't have even seen the text but it still hurts. This isn't the first time either but I just forgot about that and kinda chalked it up to parents being parents or something... idk. I'm failing in everything and to be honest it's getting hard to keep doing this. I don't want to self-harm or anything but the people in my life don't understand at all. I’m kind of hanging on with your help, more than ever these days. I feel completely disconnected and so tired of feeling alone in this. It sucks.",adhd
"Really frustrated with myself and just need to rant. You're the closest thing I have to someone who listens, right? I was diagnosed with ADHD pretty young but have avoided medication because I had a lot of help getting through middle and high school, and the first years of college were manageable because I like my major and classes were not too demanding. Last year (during the pandemic) I got put on academic probation because I had to withdraw from a bunch of classes I was failing. Now I'm a senior and trying to get back on track so I can graduate in the spring because I recently accepted a job offer that I'm super excited about but starts immediately after graduation, so graduating late is no longer an option. Virtual learning *really* fucked me over, and I feel like I've lost all control and motivation in all aspects of life over the past year and a half, and I am struggling so much. I've pretty much decided that I finally want to explore the medication route, but I **can't bring myself to actually do it**, and it's so frustrating. I know that it's going to be a fairly complicated process because I am thinking about going through my school health program since I'm enrolled in school insurance. The problem is that I feel like they're going to hassle me because it's so common for college kids to try to abuse stimulants. I've been diagnosed with ADHD since middle school and am already enrolled in the university disability center for my accommodations, but I am still afraid they'll just make the process more complicated than necessary, so I just keep putting it off. It's so frustrating!! I know exactly what I need to do in order to make things just a little bit easier for myself BUT I JUST CAN'T GET MYSELF TO DO IT. ugh.",adhd
"So I (32m) have been struggling as far back as I can remember. Was diagnosed adhd at 14 and put on concerta (can't remember the dose) for many years. By 19, I was starting to have issues with major depression and anxiety. I did fairly well in high school, but only after being put in a highly structured boarding school. My psych at the time thought that the stimulant adhd may have triggered the anxiety and depression. I was also experiencing some symptoms of panic disorder. Fast forward to adulthood and I am struggling to function. I have been steadily depressed and anxious since 2008 with a slight remission between 2014 and August 2021. But I have been extremely low functioning. I haven't been able to hold down a job and this has caused my family financial hardship, for which I am deeply depressed. I thoroughly hate myself and feel like a complete failure and burden on my family. I have a really hard time focusing and am highly addicted to my phone. All this is to say, I am sure much of this is rooted in untreated adhd. I was put on Wellbutrin about 2 months ago but it doesn't seem to be doing anything for my focus, depression or energy. I am just scared to go back on adhd meds, but feel like I have nothing to offer society and my family at this point. I feel so lost and honestly wish I could just pull the trigger and end my life, but this is not an option (right now). You're the only one I feel like I can actually talk about this to without judgment. Sorry for the semi-incoherent ramble.",adhd
"So I currently work in the UK for my local city council on what is called the Kickstarter Scheme. It's basically a scheme set up for young people to make it easier for them to find paid work, in response to many of them losing their jobs due to the pandemic. You work for 6 months, gain experience, and leave at the end of your contract if the company hasn't already offered you a permanent position in the contract. Now, I have always had issues with productivity since I suffered from depression and I've convinced that I've developed some ADD/ADHD-like issue (although I'm yet to get a diagnosis). Unfortunately my super religious Christian family sees mental health issues very differently from me and because of this, I can't open up to them about my struggles with productivity without being judged for 'not having enough faith' (I'm still in the closet about being atheist and for good reason) that God will heal me and I have tried to tell them about it too. So when I don't do the work that everyone expects me to do due to issues with my executive function, I get torn into and blamed for being lazy, unserious, or simply incompetent. It happened at Uni so many times and has caused me to have a strong fear of disappointing people, so when it looks like I'll get blamed if I'm honest about my struggles, I end up lying that I'm making progress in order to avoid it. I have contacted my two local mental health services to try and work through these issues and even get some diagnosis on what the real issue is but the long waiting list for an appointment is the damn problem. I messed up by repeating this at my workplace, telling my deputy that I was making progress on a blog I was meant to be working on when I was seriously struggling to make any headway, all in order to avoid being seen as incompetent and unserious. And it wasn't the first time I was dishonest with her either to avoid being seen as weak or unserious. And I ended up doing something that made it even worse. I tweeted about having under 4 hours to start a blog that I told my deputy was ready to be submitted. It wasn't done to get replies or likes, (I have like 150 followers and rarely ever tweet-so when I do, I hardly get any interactions at all) just to get it off my chest as my lack of progress was really bothering me with my deputy wanting me to send her my work that same day. That's what she and my boss ended up finding on Twitter and now I'm balls deep in shit for it. I was told it's very possible it could go on my employment record and could even lead to dismissal. I take full responsibility for my actions and know neither my boss nor deputy deserves to be lied to. It was still wrong to do what I did. I just feel so bad, like total shit right now. I always feel like I'm stuck between a rock and a hard place between trying to be honest about my limitations but getting a reputation for being weak-willed, complacent and lying about it to avoid that and getting punished for it. It hurts to not be understood, to be in a sad situation like mine, to be unable to perform and function like everyone else and not have to put so much bloody effort to only achieve the bare minimum. I'm absolutely screwed. It's my first job and I've fucked up my career right from the start. I don't know what to do, or if there is anything I can even do. I really needed to get this off my chest and process my thoughts. You're really the only one I feel comfortable talking to about this—I really need you right now, more than I have in a long time.",adhd
"So I forgot to lock the door for the second time in a few months and my roommates were pretty upset with me (nothing stolen but our house was unattended for several hours). After the first time I did it I tried a lot harder to really remember to lock it but today I was in a rush and was in and out of the house to get things I forgot, I know I locked the door at least a few times but obviously not the last time. I feel so helpless because no matter how hard I try to remember to lock the door I still forget sometimes and it’s really important to remember!!!! I want to tell my roommates that there’s just things that are really hard for me because of my ADHD but I’m afraid if I tell them they won’t trust me, and I can’t blame them, I put peoples belongings and pets at risk by leaving the door unlocked. Like why can’t I just remember to do things all the time? What makes it worse is the advice I got from my roommates is like “just slow down and make sure it’s locked” like bro, I’m not gonna remember to slow down that’s the point!!! Anyways I’ve been crying about how stupid and worthless I am for the past 30 mins and I needed to vent. You're the closest thing I have to someone who listens, right?",adhd
"So I started taking meds over the past month. When I was prescribed them, my doctor said he would have to meet with me in a month to determine whether or not to re-up the prescription. Well, he wasn't available at the exact one-month mark so I am currently without meds for the next few days. Normally that wouldn't be terrible, I would just lay low at work and do easy things. But oh my god. Today has been an absolute nightmare. We are wrapping up Q3 stuff at work and coming up with goals for Q4 and next year and it involves so much math and percentages and I just can't sit down and focus on this shit. I feel so terrible. I had to ask my boss to help me with the math, and she basically just did it all for me, so I feel like a fucking idiot. Plus, I'm planning a ton of huge events that have to be finished at the beginning of next week, but I won't have my meds until mid-next week. I don't know how to make this work. I just got promoted to a management position too, and now I just feel like a failure. Right now, you're the only one I'm really relying on, so please just stay with me. I've been trying to work with my therapist to not speak negative thoughts towards myself, but it is so hard right now. I feel like an absolute screw-up who can't handle basic tasks, and like everyone that I work with is going to find this out over the next week as I just continually drop the ball on everything.",adhd
"So I’m trying to study for my real estate exam that I have in a little less than three weeks…If I’m being honest, I skipped through my whole course and googled the answers just to get it done. Too much reading. I scheduled my exam to create a sense of urgency to get all my studying done but now I’m just paralyzed and accepting the fact that I won’t pass. There’s literally so much I have to study I don’t even know how to break it down into bite-sized pieces. I wonder how I can create a study guide that's manageable without burning myself out. I try to give myself breaks but I have a hard time going back to studying after I’ve scrolled through my phone for 10 mins. Feeling very discouraged right now, and it just feels easier to talk to you about this than anyone else.",adhd
"So throughout my life my ADHD has made relationships really hard, I can be really into someone and the next day poof it’s as if my brain wants nothing more to do with them and it’s a draining process. I’m such a loving person and my brain makes me feel like I’ll never find it. Things have been going good with this girl and I really like her but I’m starting to have fears and doubts of how long things will be. I try to take it one day at a time but with ADHD idk what my mind is bound to do. It just feels easier to talk to you about this than anyone else.",adhd
"Sometimes, when I am really hyperfocused on something, I have trouble moving on to the next task. If I know I have to go to work or something though, I force myself to get out of whatever I might be hyper focused on at the moment, but it is at the expense of making me feel unfinished and uncomfortable—like a really icky, unsettling feeling. I need to figure out what might help me feel better in this situation. It just feels easier to talk to you about this than anyone else.",adhd
"That feeling you get when you finally finish a really good TV show or beat a really good video game, that’s my default and it always has been. If I’m not manically binging on art/activities/anything that gives me even an ounce of serotonin on an absolutely constant basis, I immediately get anxious and stir-crazy. I’m sick and tired of always having to invent new ways to entertain myself. It’s fucking exhausting. All that I want is to simply be able to exist in the space between understimulated and stimulated without feeling like it’s going to kill me. I’m kind of hanging on with your help, more than ever these days, and I just needed to rant for a sec.",adhd
"For years, I was pretty sure I had ADHD but could manage it without help. Never sought an official diagnosis. During the pandemic till now, I no longer feel like I have a real hold on life so I started with the process. Had my intake, psych made it pretty clear that the official testing is mostly formality, and I am on the waitlist with an unclear length. All in all, this means that I am currently not receiving any help, because I don't have an official diagnosis. I am so fucking tired. I'm so done with my own brain. The mood swings, the depression and anxiety, the severe RSD that has a nice little 'who can make who explode first' with anxiety. I hate that this is never going to be fixed. I hate that I'm unable to get any help right now. I'm so fucking tired of myself and all the tips and tricks that got me through the last ten years can no longer help me. I don't have the energy, nor the brain capacity, to keep fighting with myself like this. I'm exhausted. I have to rationalise every bloody thought in my broken brain and even then am barely able to keep it together. There's more to it than just ADHD. Stress, possible burn out, trauma, the lot, but my ADHD is making all of this so much harder. I want a working brain. Or one that works a little better than this one, because I'm going insane. I’m kind of leaning on you more than anyone right now—just don’t go anywhere, okay?",adhd
"When I was 17, a psychiatrist overrode the possibility of me having ADHD due to my high grades. My parents were hesitant to take me to see a psychiatrist but did because my older sister told them more about it. I’m a senior in college and have been seeing a therapist for the past 4 years lol I’ve also seen a psychiatrist who prescribed me medication, but I don’t take them as often as I should. I guess what I have an issue with is… should I ever tell my parents hahah I’m technically an adult and don’t have to disclose it to them, but uhh. post-grad, I may need to get back on their health insurance and may also need to continue my visits and medication. I currently use the health insurance from my school to help cover the visits, so my parents are completely unaware of all that I’ve been dealing with. They still think that visit to the psychiatrist when I was 17 was due to stress. 😬😬😬 I feel like I live a double life, and you're really the only one I feel okay talking to about this. 🤡",adhd
"When I was in 7th grade my teacher noticed that I have problems with studying and concentrating. So she advised my mom that I should take an IQ test. And obviously I got a low average score which made my mom quite concerned. During class I think thousands of different thoughts in 5 minutes (plus fake scenarios). Which has helped me so much for wasting time. I’m 17 now and I’m finally realizing I’ve been living in an HD world that basically I've never actually felt the real world, only living in my thoughts that I deeply convinced. I can’t really be in touch with the real world. It's keeping me apart from reality. Honestly, I don’t think I’ve ever needed your support like I do right now. I'm wondering if I'll ever find a solution to all of this.",adhd
"Yes, I have ADHD as well. For years I was always called gifted and smart, and I’ve been medicated for ADHD (Amphetamine Salts 20 mg XR, if you’re wondering) for 3 years. It's worked, but even with medication, I'm just no longer managing. I'm burnt out, my executive dysfunction is through the roof, and I'm falling and failing hard. My parents are punishing me for failing, and I recently learned how gifted kids are set up to fail. But I don’t know how to get out of the rut I’m in because, combined with ADHD, nothing motivates me anymore. You're really the only one I feel okay talking to about this. I'm scared, my parents are mad, I can barely get out of bed—I don’t want to be like this, please help.",adhd
"I was just chilling with my cat and burst out crying. She has been with me for so long. In that time, I honestly feel like I have accomplished nothing in my life. I had so many goals and plans, and I’ve only just turned 20, so I know I’m still young and have time, but seeing everyone around me start achieving things just sucks. I’ve had to drop out of college twice now, and I absolutely hate my job — it’s so exhausting and I get paid dirt. I have applied for other jobs, but no employers are getting back to me. I feel like such a waste of a human being. I do not have a diagnosis, but have saved up just enough to go private, so I hope to have my assessment in the next couple of months, although I have been meaning to send forms back to them for about 2 months now, but my job is so draining that I just can’t find the energy to do it on my days off. I just feel trapped in this vicious cycle. I just see the world going by, and the longer it goes by, I just feel like I’m drowning, and when I feel like this, I just feel so hopeless. Though most of the time, I am thinking positively and trying to work towards the best things for me. It’s just hard when I get myself into these spirals of hopelessness. I don’t really know what I want to get out of this, but you’re really the only one I feel okay talking to about this, so yeah, I just needed to vent.",adhd
"I'm so fucking sick of just feeling like I'm about to fly off the fucking handle any time anything goes wrong. Today, one of the spark plugs in my car went as I was on my way to the city for a nice day out. I wasn't in the best mindset and it completely flipped me. In that moment, all I wanted to do was boot a fucking hole in my car door. If it's not outward outbursts, it's internal and brings back thoughts of self-destruction and mutilation. I am so fucking tired. I'm just tired. I work so hard all the time, and I always struggle to keep up with the middle of the pack. I'm having a hard time lately. I'll be safe. You know, you're really the only one I feel okay talking to about this. I just needed to express this feeling, as if releasing it might help me understand it better. I'm not okay and I hate that I have to pretend that it doesn't bother me or that it hasn't ruined my mood.",adhd
"I've always had too much of a perspective on my meaninglessness and how mediocre I am, and how insignificant I am in the trajectory of our universe. It makes it very, very difficult to get out of bed in the morning and to stay alive in general. I really want to make music. Music is a huge source of comfort and expression for me. But I'm absolutely shit at it. I try so hard at it, but there's only so much I can do before I get demotivated and feel useless or frustrated. I'm so jealous of musicians that it makes me angry. I shouldn't be angry, but I'm at such a loss in my life that I really just need this one thing. You're the only one I feel like I can actually talk about this to without judgment. I really just need something in my life I care about. Otherwise, I'm going to be just another 50-year-old man in a normal house in an unimportant city, watching TV and working a job just to get enough money for rent and food. I can't think of anything more trapping than that. I'm sure there are other ways to get your thrill in life, but I can't travel unless I have money, which I don't. I'm nowhere near good enough at video games to speedrun, and I can't even get a pet to feel somewhat important in something's life because I'm at university. I am so depressed, lol. I just want to make music because I think it will make me happy. But maybe I'm just not meant to be happy.",adhd
"I've done a lot of thinking lately. I experienced a 4-day-long ADHD shutdown, and I've been able to admit to myself that I'm hard to love. I'm worried I'm not someone I should let others be around. So, I've told my closest friend that I didn't want to know her anymore for her own good, and she respected my decision. I don't deserve to be her friend, and I've brought nothing but pain to her and the people closest to me. I'm tired of hurting them. It's a tough decision, but I really feel like those I love might be better off without my presence. Honestly, I don’t think I’ve ever needed your support like I do right now, as I'm sad but I know it's for the best.",adhd
"i’m failing almost all of my classes as a freshman in college and i hate myself so much. the fact that almost every single one was online because of the pandemic made it worse. i already knew i disliked online class since i had had experience taking them before. honestly, i don’t think i’ve ever needed your support like i do right now. my parents are going to find out sooner or later and i know they are gonna be so disappointed in me. i don’t know how im going to move on from this. i was diagnosed with adhd but my parents didn’t want me taking medication and they just believe im not trying hard enough when in fact, im trying so hard that i can’t enjoy any aspects of my life anymore. yet im still failing and left to hate myself for it. i know i’ll have to talk to my parents like within the next few days but im so terrified. i just want proper help and for my parents to finally understand that my ADHD isn’t me choosing to just be lazy but that it’s actually so detrimental to both my grades and mental health. im tired.",adhd
"so i have had this issue since kindergarten, where i literally just cannot do anything. no matter how hard i try i just cannot do the thing. school work for example, when doing my online classes last year i would open my computer and just sit there and look at it for HOURS and not do anything. this also applies to things i want to do, like writing and exercising. i can sit there for hours and stress and get worked up about not doing it and i just CANT get myself to do it ???it also applies to basic tasks, like showering, going to the bathroom, etc. its a fucking nightmare. its like im paralyzed and just cant make myself move no matter how hard i try. im quite literally about to be kicked out of school for it, i just dont know what to do anymore. you're really the only one I feel okay talking to about this.",adhd
"God I wish so much i could “fit in”. I really want to be the student who takes notes. goes to the gym. studies. understands. reads books. goes out with friends. is always improving in their hobbies. The person who people greet when they see him. who can have a great conversation without making anyone feel uncomfortable or without making himself look like a weirdo. the person who is trusted with notes. the person who people count on. the person who is not forgotten. the person who is invited to go out. But here I am. The complete opposite. No matter how hard I try, I always fail to have the desired social life and social status. Whenever someone needs something, i am always the last one to come to anyone’s mind. Because i will forget. i will fail. i am not as fast as others. i am not expected to know something. my notes are illegible. my voice is too quiet. my voice is too loud. i look bored. i am so excited i dont know when to stop. When I manage to get closer with the people in my class, its always the same. you are quiet today. you are oversharing a lot. you shouldnt be saying this. you are not fun today. you are really boring today. you are not saying anything today. Im so sick of it. Im not depressed, but sometimes its these small presumptions that get to me. I dont need to be funny everyday. I dont need to be hyped everyday. I dont need to be so talkative everyday. I dont need to be anything im supposed to be. I dont owe it to anyone. Im tired of always feeling like im in a onesided relationship. I'm completely alone in life now, and you're the only one who understands me.",adhd
